-0.15499903	0.47258762	-0.48933253	0.8551036	0.025245937	0.4573621	-1.6565555
0.0801379	-0.015174938	2.0594883	0.23766953	1.0661482	0.21286097	0.9352702
1.8836628	-1.1806656	-2.731335	-1.1218919	-1.4181918	-0.5562294	-0.9147545
-0.7154507	2.8031657	2.6595912	3.0488822	-0.366542	-0.213444	-0.045936476
-1.7442483	0.53200597	-0.30117247	0.0123770535	-1.9684551	-1.0909027	0.8526736
0.5694498	0.3015989	0.48635653	0.41189083	0.562368	0.45694846	0.84266144
0.92710364	-0.8891923	-2.0463407	0.2873923	-0.65613335	0.09822587	0.50458366
1.2556365	0.2839045	0.058480646	0.25582436	-0.20737071	0.05524206	-1.6135052
-0.3864465	0.20523609	-0.040536553	0.3737412	0.019888675	0.47250685	0.5587534
-1.7727728	2.7093425	2.7735827	3.339765	1.9992675	-0.7838074	2.3268178
-2.0410843	5.0429935	5.2464676	5.230996	4.4965487	-0.47024056	7.2645245
1.9539976	-3.9314704	-3.3395903	-2.4274158	-2.1799269	1.5725175	0.9309579
-0.52615637	-0.18195741	2.259835	-1.1007428	-0.069031015	-1.121445	0.114197515
0.64700365	1.3847853	0.7959176	1.5344514	-1.628503	-0.9326454	-1.2410804
-1.6045265	-1.2699126	0.6277678	-0.6386865	0.4013828	-0.7225594	-0.14596762
0.15354961	-0.6929152	-0.22411676	0.5483931	0.07535605	1.6581017	-1.3643726
3.195258	-1.4682019	-1.7844142	-0.52710414	-1.5070359	0.14765407	-1.185952
0.92358977	1.9959769	-0.9306972	1.0405412	-0.2657444	-1.3614767	0.6193562
0.7541062	0.51400715	0.2835198	-1.6969498	-1.1184725	-0.88587886	1.7829056
0.6918255	1.4482087	-0.13377647	-0.27289668	-0.110877536	1.7331641	0.79089254
1.1101127	-0.39345247	-0.99154586	-0.25746903	-0.83938086	-0.19438252	1.0290345
-0.54372215	-0.35386825	1.3281065	-0.14646958	0.9955471	0.60364854	-0.19677001
2.3927257	-0.49274942	-0.8166986	-0.4838041	1.0667448	0.67853916	-0.39644396
-1.7785928	1.4362208	-0.37622225	0.85849553	2.0110867	-0.8705143	-0.020294342
2.122759	-2.700029	-3.286087	-2.9590063	-3.0693638	1.4988302	-2.9704516
-2.174862	0.21947253	0.8953336	1.5002773	0.43891633	-0.31591955	0.939778
1.3377913	0.40886676	1.2615271	1.5191672	0.04479462	-0.27899382	-0.27443585
1.2298462	0.32467577	-0.76715475	0.04737876	0.18791278	1.4688344	-0.684434
-1.5982258	-0.70567364	0.021347754	0.4623907	1.3417602	-1.102205	2.3578548
1.8626531	-0.2909224	-1.3353666	0.7105706	1.0801334	0.082709864	1.416632
-1.7476218	-0.13269228	1.0598167	0.9125429	0.16618145	-0.408738	1.7324189
1.259148	0.0797089	-1.1025242	-1.978782	-0.63714904	1.49594	-0.543613
1.397091	0.8222527	-0.4044797	-0.064810485	-1.6526222	-0.8830348	-1.0120058
-0.29278183	-0.6398109	2.5801377	0.04890513	1.7960979	0.052958675	2.0463905
-0.4388196	0.5507148	1.720309	1.163856	0.89322186	0.8248638	0.66092116
-1.265436	-0.35383072	-0.23645124	-0.664414	-1.3485979	-0.044499226	-0.17516778
-0.15086304	1.0636572	1.4937274	2.1793115	0.6806518	-0.6073199	0.113008074
0.13813835	-1.1953784	-0.043259256	-0.15435429	-1.1613568	1.1203334	-0.43056613
0.7842093	-1.4038883	-0.60132915	-0.47315603	0.27297002	0.031157242	-1.2342532
0.45890084	0.4892279	0.35171857	2.5641787	0.9729597	-0.09482348	1.6859074
-1.1876963	-1.4387226	-1.2830149	-1.8659731	0.84666985	-1.209821	2.6149251
-0.7662773	1.0955884	1.020327	-1.3605148	-1.0216397	0.17903492	0.37973544
1.2363458	0.8745199	1.2953348	0.32802156	0.56735927	0.15657161	1.18204
-1.3472366	-2.3459673	-2.3044062	-0.22557655	-1.8761474	-1.5109988	0.49308124
0.3789128	1.5498099	1.8335232	3.8782644	2.0892909	-0.8658333	3.0556438
1.0503292	-1.2633067	0.6507232	-2.1943111	-1.3162826	-0.025385547	-3.560286
-0.2795472	-1.0705026	-0.873113	-0.40641704	-0.3779138	-0.49228683	1.0823541
-1.1042175	-1.5560844	-0.4788951	-0.34361792	-0.5554538	-1.3143706	0.16856635
1.3581759	-0.07589618	0.77350354	1.1769919	-0.28308597	0.09177529	-1.654598
-0.8072504	0.2616448	1.8008682	0.5088354	-0.59832263	2.3212447	-0.6372553
0.2390509	-1.7950808	0.40050802	-2.7747443	1.0516262	-1.3261937	-1.5643421
2.0721278	-1.0493966	-1.5211892	-1.2355518	-1.6431113	2.717539	-2.972344
1.7625442	-0.4172347	-0.4716254	0.58357567	1.4259516	1.7169111	-0.64836824
-0.3538741	-0.68890816	0.07625478	0.17360073	0.14158992	0.6423448	0.46476918
1.1587902	0.6332078	-1.0903959	0.21800798	-0.8936195	1.8294889	-0.6450305
2.6562095	-0.24659973	-2.2284088	0.35708067	-0.7932094	1.1647942	-1.4173328
-0.039268985	-0.40361187	0.8447845	0.5924309	-0.7580881	1.0736312	0.40466204
